"title","rating","overview","release date","original language","director","actors","revenue","genres","genres_ru"
"Animal Factory","6.4","Suburbanite Ron is spoiled, young and not overly worried about the marijuana charges leveled against him. But, after being made out to be a drug dealer, he faces a five-year jail sentence in San Quentin State Prison. Physically frail and unaccustomed to his rough surroundings, Ron is primed to fall victim to sexual predators and bullying guards – that is, until he's befriended by Earl, a veteran inmate who finds meaning in protecting the vulnerable new kid.","2000-10-13","en","Steve Buscemi","Willem Dafoe, Edward Furlong, Danny Trejo, Mark Boone Junior, Seymour Cassel","43805","Crime, Drama","Криминал, Драма"
"The Whole Nine Yards","6.447","After a mobster agrees to cooperate with an FBI investigation in order to stay out of prison, he's relocated by the authorities to a life of suburban anonymity as part of a witness protection program. It's not long before a couple of his new neighbours figure out his true identity and come knocking to see if he'd be up for one more hit—suburban style.","2000-02-18","en","Jonathan Lynn","Matthew Perry, Bruce Willis, Natasha Henstridge, Amanda Peet, Michael Clarke Duncan","106371651","Comedy, Crime","Комедия, Криминал"
"Dancer in the Dark","7.9","Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.","2000-09-01","en","Lars von Trier","Björk, Catherine Deneuve, David Morse, Peter Stormare, Joel Grey","40061153","Drama, Crime","Драма, Криминал"
"Requiem for a Dream","8","The drug-induced utopias of four Coney Island residents are shattered when their addictions run deep.","2000-10-06","en","Darren Aronofsky","Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans, Christopher McDonald","7390108","Crime, Drama","Криминал, Драма"
"Boiler Room","6.716","A college dropout gets a job as a broker for a suburban investment firm and is on the fast track to success—but the job might not be as legitimate as it sounds.","2000-02-18","en","Ben Younger","Giovanni Ribisi, Vin Diesel, Nia Long, Nicky Katt, Scott Caan","28780255","Crime, Drama, Thriller","Криминал, Драма, Триллер"
"Burnt Money","6.8","Set in Argentina in 1965, the story follows the tumultuous relationship between two men who became lovers and ultimately ruthless bank robbers in a notoriously famous footnote in the annals of crime history. After a large-scale hold-up that turns bloody, the two men must flee. It is not long before the police are surrounding the building they are in and they must confront their demons to survive.","2000-05-11","es","Marcelo Piñeyro","Leonardo Sbaraglia, Eduardo Noriega, Pablo Echarri, Leticia Brédice, Ricardo Bartis","0","Romance, Crime","Романтика, Криминал"
"Blow","7.4","A boy named George Jung grows up in a struggling family in the 1950's. His mother nags at her husband as he is trying to make a living for the family. It is finally revealed that George's father cannot make a living and the family goes bankrupt. George does not want the same thing to happen to him, and his friend Tuna, in the 1960's, suggests that he deal marijuana. He is a big hit in California in the 1960's, yet he goes to jail, where he finds out about the wonders of cocaine. As a result, when released, he gets rich by bringing cocaine to America. However, he soon pays the price.","2001-04-04","en","Ted Demme","Johnny Depp, Penélope Cruz, Franka Potente, Rachel Griffiths, Ray Liotta","83300000","Crime, Drama","Криминал, Драма"
"All About Lily Chou-Chou","7.3","Charts the troubled teenage years of students Yūichi Hasumi and Shūsuke Hoshino, exploring the shifting and complex power dynamics of their relationship against the backdrop of Yūichi's love for the dreamy and abstract music of pop star Lily Chou-Chou.","2001-10-06","ja","Shunji Iwai","Hayato Ichihara, Shugo Oshinari, Yu Aoi, Ayumi Ito, Takao Osawa","6776921","Drama, Crime","Драма, Криминал"
"Yamakasi","6","Yamakasi - Les samouraïs des temps modernes is a 2001 French movie written by Luc Besson. It demonstrates the skills of the Yamakasi, a group of traceurs who battle against injustice in the Paris ghetto. They use parkour to steal from the rich in order to pay off medical bills for a kid injured copying their techniques.","2001-04-04","fr","Julien Seri","Châu Belle Dinh, Williams Belle, Malik Diouf, Yann Hnautra, Guylain N'Guba-Boyeke","1297401","Action, Crime, Drama","Боевик, Криминал, Драма"
"The Man Who Wasn't There","7.5","A tale of murder, crime and punishment set in the summer of 1949. Ed Crane, a barber in a small California town, is dissatisfied with his life, but his wife Doris' infidelity and a mysterious opportunity presents him with a chance to change it.","2001-10-26","en","Joel Coen","Billy Bob Thornton, Frances McDormand, Michael Badalucco, James Gandolfini, Katherine Borowitz","18900000","Crime, Drama","Криминал, Драма"
"Heartbreakers","6.1","Max and Page are a brilliant mother/daughter con team who have their grift down to a fine science. Max targets wealthy, willing men and marries them. Page then seduces them, and Max catches her husband in the act. Then it's off to palimony city and the next easy mark.","2001-03-23","en","David Mirkin","Sigourney Weaver, Jennifer Love Hewitt, Jason Lee, Gene Hackman, Ray Liotta","57800000","Comedy, Romance, Crime","Комедия, Романтика, Криминал"
"Case Closed: Countdown to Heaven","7.3","As a pair of towers in Tokyo are being prepared for their grand opening, there is a series of murders of people connected to the towers. Conan suspects that the mysterious Syndicate may also be involved.","2001-04-21","ja","Kenji Kodama","Minami Takayama, Kappei Yamaguchi, Wakana Yamazaki, Akira Kamiya, Megumi Hayashibara","23895574","Animation, Action, Crime, Mystery","Анимация, Боевик, Криминал, Мистика"
"Bully","6.651","This is the true story of Bobby Kent, a teen bully in the suburban town of Hollywood, Florida. Eventually, his best friend and girlfriend team up with the various other kids that are tired of getting beat up by him. Included in that group are the overweight Lisa Connelly. Together, seven teenagers lure Bobby out, deep into the swamp, promising him sex and drugs and when they get there, they beat him to death with baseball bats....","2001-06-15","en","Larry Clark","Brad Renfro, Nick Stahl, Rachel Miner, Michael Pitt, Daniel Franzese","480811","Crime, Drama","Криминал, Драма"
"Greenfingers","6.3","Clive Owen stars as a prison inmate who goes into an experimental ""open"" prison where the inmates walk around freely and get job training for their impending releases. While there, he discovers he has a talent for growing flowers. His talent is recognized by a gardening guru who encourages him and four other inmates to enter a national gardening competition","2001-07-27","en","Joel Hershman","Clive Owen, Helen Mirren, David Kelly, Warren Clarke, Danny Dyer","1443067","Comedy, Drama, Action, Crime, Romance","Комедия, Драма, Боевик, Криминал, Романтика"
"Catch Me If You Can","8","A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.","2002-12-16","en","Steven Spielberg","Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen, Nathalie Baye","352114312","Drama, Crime","Драма, Криминал"
"City of God","8.4","In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket is a budding photographer who documents the increasing drug-related violence of his neighborhood, while José “Zé” Pequeno is an ambitious drug dealer diving into a dangerous life of crime.","2002-08-30","pt","Fernando Meirelles","Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva, Jonathan Haagensen","30641770","Drama, Crime","Драма, Криминал"
"Undisputed","6.524","Monroe Hutchens is the heavyweight champion of Sweetwater, a maximum security prison. He was convicted to a life sentence due to a passionate crime. Iceman Chambers is the heavyweight champion, who lost his title due to a rape conviction to ten years in Sweetwater. WHen these two giants collide in the same prison, they fight against each other disputing who is the real champion.","2002-07-17","en","Walter Hill","Wesley Snipes, Ving Rhames, Peter Falk, Michael Rooker, Jon Seda","14946150","Drama, Crime","Драма, Криминал"
"Gangs of New York","7.326","In 1863, Amsterdam Vallon returns to the Five Points of America to seek vengeance against the psychotic gangland kingpin, Bill the Butcher, who murdered his father years earlier. With an eager pickpocket by his side and a whole new army, Vallon fights his way to seek vengeance on the Butcher and restore peace in the area.","2002-12-14","en","Martin Scorsese","Leonardo DiCaprio, Daniel Day-Lewis, Cameron Diaz, Jim Broadbent, John C. Reilly","193800000","Drama, History, Crime","Драма, Исторический, Криминал"
"Lilya 4-ever","7.623","Lilja lives in poverty and dreams of a better life. Her mother moves to the United States and abandons her to her aunt, who neglects her. Lilja hangs out with her friends, Natasha and Volodya, who is suicidal. Desperate for money, she starts working as a prostitute, and later meets Andrei. He offers her a good job in Sweden, but when Lilja arrives her life quickly enters a downward spiral.","2002-08-23","sv","Lukas Moodysson","Oksana Akinshina, Artyom Bogucharsky, Lyubov Agapova, Liliya Shinkaryova, Elina Benenson","1007747","Crime, Drama","Криминал, Драма"
"High Crimes","6.3","A female attorney learns that her husband is really a marine officer awol for fifteen years and accused of murdering fifteen civilians in El Salvador. Believing her husband when he tells her that he's being framed as part of a U.S. Military cover-up, the attorney defends him in a military court.","2002-04-05","en","Carl Franklin","Ashley Judd, Morgan Freeman, Jim Caviezel, Amanda Peet, Adam Scott","63781810","Drama, Mystery, Thriller, Crime","Драма, Мистика, Триллер, Криминал"
